Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeamOverallFormL3,AwayTeamOverallFormL3,HomeTeamHomeFormL3,AwayTeamAwayFormL3,HomeTeamPromoted,AwayTeamPromoted,HomeTeamAvgGoalsScoredOverall,HomeTeamAvgGoalsConcededOverall,AwayTeamAvgGoalsScoredOverall,AwayTeamAvgGoalsConcededOverall,HomeTeamAvgGoalsScoredHome,HomeTeamAvgGoalsConcededHome,AwayTeamAvgGoalsScoredAway,AwayTeamAvgGoalsConcededAway,HomeTeamAvgGoalsScoredOverallL3,HomeTeamAvgGoalsConcededOverallL3,AwayTeamAvgGoalsScoredOverallL3,AwayTeamAvgGoalsConcededOverallL3,HomeTeamAvgGoalsScoredHomeL3,HomeTeamAvgGoalsConcededHomeL3,AwayTeamAvgGoalsScoredAwayL3,AwayTeamAvgGoalsConcededAwayL3
N1,24/08/2019,Willem II,FC Emmen,2,1,H,0.67,0.33,0.0,0.0,0,0,2.0,1.67,0.67,2.0,0.0,2.0,0.0,5.0,2.0,1.67,0.67,2.0,0.0,2.0,0.0,5.0
N1,24/08/2019,Heracles,Vitesse,1,1,D,0.11,0.78,0.0,1.0,0,0,0.33,2.33,2.33,0.67,0.0,3.0,2.0,0.0,0.33,2.33,2.33,0.67,0.0,3.0,2.0,0.0
N1,24/08/2019,Heerenveen,Twente,0,0,D,0.44,0.56,0.33,1.0,0,1,1.67,1.0,2.33,1.67,1.0,1.0,3.0,1.0,1.67,1.0,2.33,1.67,1.0,1.0,3.0,1.0
N1,25/08/2019,Waalwijk,Den Haag,0,3,A,0.11,0.0,0.0,0.0,1,0,1.33,2.67,1.33,3.0,0.0,2.0,1.0,3.0,1.33,2.67,1.33,3.0,0.0,2.0,1.0,3.0
N1,25/08/2019,Utrecht,VVV Venlo,1,2,A,0.78,0.33,1.0,0.0,0,0,2.67,1.33,1.67,3.0,3.0,1.0,1.0,4.0,2.67,1.33,1.67,3.0,3.0,1.0,1.0,4.0
N1,25/08/2019,Zwolle,Sparta Rotterdam,2,2,D,0.0,0.78,0.0,0.67,0,1,0.67,3.0,2.67,1.33,1.0,3.0,2.0,1.5,0.67,3.0,2.67,1.33,1.0,3.0,2.0,1.5
N1,30/08/2019,FC Emmen,Zwolle,1,3,A,0.33,0.11,0.5,0.0,0,0,0.75,2.0,1.0,2.75,1.0,0.5,0.5,3.0,1.0,2.33,1.0,2.67,1.0,0.5,0.5,3.0
N1,31/08/2019,Heerenveen,For Sittard,1,1,D,0.22,0.11,0.33,0.0,0,0,1.25,0.75,1.0,2.67,0.5,0.5,0.0,4.0,0.33,1.0,1.0,2.67,0.5,0.5,0.0,4.0
N1,31/08/2019,Groningen,Heracles,1,2,A,0.44,0.22,0.0,0.33,0,0,0.67,1.0,0.5,2.0,1.0,3.0,1.0,1.0,0.67,1.0,0.67,1.33,1.0,3.0,1.0,1.0
N1,31/08/2019,Den Haag,VVV Venlo,1,0,H,0.33,0.33,0.0,0.5,0,0,1.75,2.25,1.75,2.5,1.5,3.0,1.5,2.5,1.67,1.67,1.33,3.0,1.5,3.0,1.5,2.5
