Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeamOverallFormL3,AwayTeamOverallFormL3,HomeTeamHomeFormL3,AwayTeamAwayFormL3,HomeTeamPromoted,AwayTeamPromoted,HomeTeamAvgGoalsScoredOverall,HomeTeamAvgGoalsConcededOverall,AwayTeamAvgGoalsScoredOverall,AwayTeamAvgGoalsConcededOverall,HomeTeamAvgGoalsScoredHome,HomeTeamAvgGoalsConcededHome,AwayTeamAvgGoalsScoredAway,AwayTeamAvgGoalsConcededAway,HomeTeamAvgGoalsScoredOverallL3,HomeTeamAvgGoalsConcededOverallL3,AwayTeamAvgGoalsScoredOverallL3,AwayTeamAvgGoalsConcededOverallL3,HomeTeamAvgGoalsScoredHomeL3,HomeTeamAvgGoalsConcededHomeL3,AwayTeamAvgGoalsScoredAwayL3,AwayTeamAvgGoalsConcededAwayL3
N1,24/09/2016,Ajax,Zwolle,5,1,H,1.0,0.11,0.44,0.17,0,0,2.0,0.83,0.33,2.0,1.33,1.33,0.5,1.0,2.0,0.0,0.33,1.33,1.33,1.33,0.5,1.0
N1,24/09/2016,AZ Alkmaar,Go Ahead Eagles,2,2,D,1.0,0.33,0.78,0.0,0,1,1.67,0.67,0.67,1.83,2.0,0.67,0.0,2.0,2.0,0.0,0.67,1.67,2.0,0.67,0.0,2.0
N1,24/09/2016,Den Haag,Heerenveen,0,3,A,0.11,1.0,0.67,0.44,0,0,1.67,1.67,2.0,1.17,2.0,0.5,2.0,1.33,1.0,2.67,2.33,0.33,2.0,0.5,2.0,1.33
N1,24/09/2016,Excelsior,PSV Eindhoven,1,3,A,0.44,0.44,0.67,1.0,0,0,1.67,1.5,1.83,0.33,2.0,1.0,3.33,0.33,1.67,2.0,1.33,0.33,2.0,1.0,3.33,0.33
N1,24/09/2016,Groningen,Heracles,0,0,D,0.56,0.11,0.11,0.22,0,0,1.5,2.17,1.0,1.5,1.33,3.33,1.0,1.67,2.0,0.67,0.67,2.0,1.33,3.33,1.0,1.67
N1,25/09/2016,Feyenoord,Roda,5,0,H,1.0,0.11,1.0,0.22,0,0,2.67,0.33,0.5,1.5,3.0,0.67,0.67,1.33,2.67,0.67,0.0,1.67,3.0,0.67,0.67,1.33
N1,25/09/2016,Nijmegen,Willem II,0,0,D,0.0,0.22,0.44,0.33,0,0,0.83,2.0,0.83,1.83,1.0,2.0,1.0,2.0,0.0,2.67,0.33,1.0,1.0,2.0,1.0,2.0
N1,25/09/2016,Twente,Vitesse,2,1,H,0.67,0.44,0.67,0.67,0,0,2.17,2.0,1.5,0.83,2.67,1.33,1.67,0.67,2.67,1.67,1.0,0.67,2.67,1.33,1.67,0.67
N1,25/09/2016,Utrecht,Sparta Rotterdam,2,0,H,0.22,0.44,0.0,0.44,0,1,1.17,2.17,1.5,1.17,1.0,3.0,1.67,1.33,1.0,2.33,1.33,1.33,1.0,3.0,1.67,1.33
N1,30/09/2016,Zwolle,Den Haag,2,1,H,0.11,0.0,0.11,0.33,0,0,0.43,2.43,1.43,1.86,0.25,2.5,1.5,2.25,0.67,2.67,0.67,3.33,0.33,2.33,1.33,2.67
N1,01/10/2016,Go Ahead Eagles,Excelsior,3,0,H,0.44,0.44,0.44,0.44,1,0,0.86,1.86,1.57,1.71,1.33,1.67,1.33,2.0,1.33,1.33,1.67,1.67,1.33,1.67,1.33,2.0
N1,01/10/2016,Heerenveen,PSV Eindhoven,1,1,D,1.0,0.67,0.78,1.0,0,0,2.14,1.0,2.0,0.43,2.0,1.0,3.25,0.5,3.0,0.33,2.33,0.67,2.0,1.0,3.67,0.33
N1,01/10/2016,Roda,Nijmegen,0,1,A,0.0,0.11,0.11,0.11,0,0,0.43,2.0,0.71,1.71,0.33,1.67,0.67,2.0,0.0,3.33,0.0,2.0,0.33,1.67,0.67,2.0
N1,01/10/2016,Vitesse,Groningen,2,1,H,0.33,0.56,0.44,0.44,0,0,1.43,1.0,1.29,1.86,1.33,1.0,1.67,1.0,1.0,1.0,2.0,0.67,1.33,1.0,1.67,1.0
N1,02/10/2016,Ajax,Utrecht,3,2,H,1.0,0.44,0.67,0.33,0,0,2.43,0.86,1.29,1.86,2.25,1.25,1.33,1.33,2.67,0.33,1.33,2.0,2.33,1.0,1.33,1.33
N1,02/10/2016,Heracles,Twente,1,1,D,0.11,0.67,0.33,0.33,0,0,0.86,1.29,2.14,1.86,1.0,1.33,1.67,2.67,0.33,1.67,2.33,1.67,1.0,1.33,1.67,2.67
N1,02/10/2016,Sparta Rotterdam,AZ Alkmaar,1,1,D,0.44,0.78,0.67,0.67,1,0,1.29,1.29,1.71,0.86,1.33,1.0,1.33,0.67,1.0,1.0,2.0,0.67,1.33,1.0,1.33,0.67
N1,02/10/2016,Willem II,Feyenoord,0,2,A,0.22,1.0,0.22,1.0,0,0,0.71,1.57,3.0,0.29,0.67,1.67,2.33,0.0,0.33,1.0,3.0,0.33,0.67,1.67,2.33,0.0
N1,15/10/2016,AZ Alkmaar,Vitesse,2,2,D,0.56,0.67,0.78,0.33,0,0,1.62,0.88,1.5,1.0,2.0,1.0,1.5,1.0,1.67,1.0,1.67,1.0,2.0,0.67,0.67,1.0
N1,15/10/2016,Groningen,Heerenveen,0,3,A,0.44,0.78,0.22,0.67,0,0,1.25,1.88,2.0,1.0,1.0,2.5,2.25,1.0,2.0,1.0,2.33,0.33,1.33,1.67,2.33,0.67
N1,15/10/2016,PSV Eindhoven,Heracles,1,1,D,0.44,0.22,0.44,0.22,0,0,1.88,0.5,0.88,1.25,0.33,0.33,0.75,1.25,1.33,1.0,0.33,1.0,0.33,0.33,0.67,1.33
N1,15/10/2016,Sparta Rotterdam,Willem II,2,2,D,0.44,0.22,0.78,0.44,1,0,1.25,1.25,0.62,1.62,1.25,1.0,0.75,1.5,1.0,1.0,0.33,1.0,1.33,0.33,0.67,1.0
N1,15/10/2016,Utrecht,Go Ahead Eagles,3,0,H,0.33,0.44,0.33,0.11,0,1,1.38,2.0,1.12,1.62,1.25,2.25,0.5,2.0,1.67,2.67,1.67,1.33,1.33,2.33,0.67,1.67
N1,16/10/2016,Den Haag,Ajax,0,2,A,0.0,1.0,0.44,1.0,0,0,1.38,1.88,2.5,1.0,1.33,1.33,2.67,0.33,0.67,3.0,3.33,1.0,1.33,1.33,2.67,0.33
N1,16/10/2016,Excelsior,Roda,0,1,A,0.11,0.0,0.33,0.11,0,0,1.38,1.88,0.38,1.88,1.75,1.5,0.5,2.25,0.67,2.33,0.0,3.0,1.67,2.0,0.0,2.33
N1,16/10/2016,Nijmegen,Feyenoord,1,2,A,0.44,1.0,0.44,1.0,0,0,0.75,1.5,2.88,0.25,0.75,1.5,2.25,0.0,0.33,0.67,2.67,0.0,0.67,1.67,1.33,0.0
N1,16/10/2016,Twente,Zwolle,2,2,D,0.78,0.33,1.0,0.11,0,0,2.0,1.75,0.62,2.25,2.5,1.25,0.67,2.33,2.33,1.0,1.0,2.67,3.0,1.0,0.67,2.33
N1,21/10/2016,Excelsior,Zwolle,0,2,A,0.0,0.44,0.33,0.11,0,0,1.22,1.78,0.78,2.22,1.4,1.4,1.0,2.25,0.33,2.33,1.67,2.67,1.33,1.67,1.0,2.67
N1,22/10/2016,Go Ahead Eagles,Twente,0,2,A,0.44,0.56,0.67,0.44,1,0,1.0,1.78,2.0,1.78,1.75,1.25,1.5,2.25,1.67,1.67,1.67,1.33,1.67,1.0,2.0,2.33
N1,22/10/2016,PSV Eindhoven,Sparta Rotterdam,1,0,H,0.56,0.22,0.22,0.11,0,1,1.78,0.56,1.33,1.33,0.5,0.5,1.25,1.5,1.67,1.0,1.0,1.67,0.33,0.67,0.67,2.0
N1,22/10/2016,Roda,Den Haag,1,1,D,0.33,0.0,0.0,0.0,0,0,0.44,1.67,1.22,1.89,0.25,1.5,1.4,2.2,0.33,2.0,0.33,2.33,0.0,1.67,1.0,3.0
N1,22/10/2016,Willem II,Utrecht,0,1,A,0.22,0.67,0.22,0.22,0,0,0.78,1.67,1.56,1.78,0.5,1.75,1.5,1.75,0.67,1.33,2.33,1.0,0.33,1.0,1.33,1.67
N1,23/10/2016,Feyenoord,Ajax,1,1,D,1.0,1.0,1.0,1.0,0,0,2.78,0.33,2.44,0.89,3.5,0.5,2.5,0.25,3.0,0.33,3.33,1.0,4.0,0.67,2.33,0.0
N1,23/10/2016,Groningen,AZ Alkmaar,2,0,H,0.11,0.33,0.22,0.78,0,0,1.11,2.0,1.67,1.0,0.8,2.6,1.25,0.75,0.33,1.67,1.67,1.67,0.33,1.33,1.67,0.67
N1,23/10/2016,Heerenveen,Heracles,3,1,H,0.78,0.33,0.78,0.22,0,0,2.11,0.89,0.89,1.22,1.75,1.0,0.8,1.2,2.33,0.33,0.67,0.67,1.67,0.67,0.67,1.33
N1,23/10/2016,Nijmegen,Vitesse,1,1,D,0.44,0.44,0.11,0.11,0,0,0.78,1.56,1.56,1.11,0.8,1.6,1.6,1.2,0.67,0.67,1.67,1.67,0.33,2.0,1.0,1.67
N1,28/10/2016,Twente,Roda,0,0,D,0.56,0.44,0.78,0.33,0,0,2.0,1.6,0.5,1.6,2.4,1.4,0.6,1.8,1.67,1.0,0.67,0.67,2.67,1.33,0.33,2.33
N1,29/10/2016,Ajax,Excelsior,1,0,H,0.78,0.0,1.0,0.11,0,0,2.3,0.9,1.1,1.8,2.4,1.4,1.0,2.25,2.0,1.0,0.0,2.0,3.0,1.0,0.67,2.67
N1,29/10/2016,Heracles,Sparta Rotterdam,2,2,D,0.22,0.22,0.11,0.11,0,1,0.9,1.4,1.2,1.3,1.0,1.25,1.0,1.4,1.0,1.67,1.0,1.33,0.33,1.33,0.33,1.33
N1,29/10/2016,Vitesse,PSV Eindhoven,0,2,A,0.56,0.56,0.78,0.78,0,0,1.5,1.1,1.7,0.5,1.5,1.0,2.8,0.6,1.67,1.33,1.0,0.67,1.67,0.67,2.67,0.67
N1,29/10/2016,Willem II,Groningen,2,1,H,0.11,0.33,0.11,0.44,0,0,0.7,1.6,1.2,1.8,0.4,1.6,1.5,1.25,0.67,1.67,1.0,1.67,0.33,1.33,2.0,1.0
N1,30/10/2016,Den Haag,AZ Alkmaar,0,1,A,0.11,0.22,0.11,0.44,0,0,1.2,1.8,1.5,1.1,1.0,1.5,1.0,1.0,0.67,1.67,1.0,1.67,0.33,2.0,1.0,1.0
N1,30/10/2016,Feyenoord,Heerenveen,2,2,D,0.78,0.78,0.78,1.0,0,0,2.6,0.4,2.2,0.9,3.0,0.6,2.4,0.8,1.67,0.67,2.33,0.67,3.0,0.67,3.0,0.0
N1,30/10/2016,Utrecht,Nijmegen,1,1,D,0.67,0.44,0.67,0.33,0,0,1.5,1.6,0.8,1.5,1.6,1.8,0.75,1.5,2.0,1.0,1.0,1.0,2.0,1.67,0.33,1.33
N1,30/10/2016,Zwolle,Go Ahead Eagles,3,1,H,0.78,0.33,0.44,0.11,0,1,0.9,2.0,0.9,1.8,0.6,2.2,0.4,2.2,2.0,1.0,1.0,1.67,1.0,1.33,0.67,2.33
N1,04/11/2016,Sparta Rotterdam,Heerenveen,3,1,H,0.22,0.78,0.56,0.78,1,0,1.27,1.36,2.18,1.0,1.4,1.2,2.33,1.0,1.33,1.67,2.67,1.0,1.67,1.0,2.67,0.67
N1,05/11/2016,Den Haag,Willem II,1,0,H,0.11,0.44,0.0,0.22,0,0,1.09,1.73,0.82,1.55,0.8,1.4,1.0,1.6,0.33,1.33,1.33,1.33,0.0,2.0,0.67,1.33
N1,05/11/2016,Nijmegen,Groningen,1,1,D,0.22,0.33,0.22,0.33,0,0,0.82,1.45,1.18,1.82,0.83,1.5,1.4,1.4,1.0,1.33,1.0,1.67,0.67,1.0,2.33,1.67
N1,05/11/2016,PSV Eindhoven,Twente,1,1,D,0.78,0.56,0.44,0.44,0,0,1.73,0.45,1.82,1.45,0.6,0.4,1.6,1.8,1.33,0.33,1.33,0.67,0.67,0.67,1.33,1.33
N1,05/11/2016,Zwolle,Roda,0,0,D,0.78,0.56,0.67,0.44,0,0,1.09,1.91,0.45,1.45,1.0,2.0,0.5,1.5,2.33,1.0,0.67,0.33,1.67,1.33,0.33,1.67
N1,06/11/2016,AZ Alkmaar,Ajax,2,2,D,0.44,0.78,0.56,0.78,0,0,1.45,1.0,2.18,0.82,2.0,1.2,2.2,0.4,1.0,1.33,1.33,0.33,2.0,1.33,1.67,0.33
N1,06/11/2016,Go Ahead Eagles,Feyenoord,1,0,H,0.0,0.56,0.67,1.0,1,0,0.91,1.91,2.55,0.55,1.4,1.4,2.2,0.2,0.33,2.67,1.67,1.33,1.67,0.67,1.67,0.33
N1,06/11/2016,Utrecht,Excelsior,2,1,H,0.78,0.0,0.78,0.11,0,0,1.45,1.55,1.0,1.73,1.5,1.67,0.8,2.0,1.67,0.33,0.0,1.33,2.0,0.33,0.33,1.67
N1,06/11/2016,Vitesse,Heracles,1,2,A,0.22,0.22,0.67,0.22,0,0,1.36,1.18,1.0,1.45,1.2,1.2,0.83,1.5,1.0,1.67,1.33,2.0,1.33,1.0,0.67,1.33
N1,19/11/2016,Excelsior,Sparta Rotterdam,3,2,H,0.0,0.44,0.0,0.11,0,1,1.0,1.75,1.42,1.33,1.17,1.5,1.17,1.5,0.33,1.67,1.67,1.33,0.33,2.0,0.67,1.67
N1,19/11/2016,Groningen,Den Haag,2,1,H,0.44,0.44,0.44,0.11,0,0,1.17,1.75,1.08,1.58,1.0,2.17,1.33,2.0,1.33,1.0,0.67,0.67,0.67,1.0,1.0,2.33
