Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeamOverallFormL3,AwayTeamOverallFormL3,HomeTeamHomeFormL3,AwayTeamAwayFormL3,HomeTeamPromoted,AwayTeamPromoted,HomeTeamAvgGoalsScoredOverall,HomeTeamAvgGoalsConcededOverall,AwayTeamAvgGoalsScoredOverall,AwayTeamAvgGoalsConcededOverall,HomeTeamAvgGoalsScoredHome,HomeTeamAvgGoalsConcededHome,AwayTeamAvgGoalsScoredAway,AwayTeamAvgGoalsConcededAway,HomeTeamAvgGoalsScoredOverallL3,HomeTeamAvgGoalsConcededOverallL3,AwayTeamAvgGoalsScoredOverallL3,AwayTeamAvgGoalsConcededOverallL3,HomeTeamAvgGoalsScoredHomeL3,HomeTeamAvgGoalsConcededHomeL3,AwayTeamAvgGoalsScoredAwayL3,AwayTeamAvgGoalsConcededAwayL3
SC0,24/09/2016,Celtic,Kilmarnock,6,1,H,0.78,0.33,1.0,0.44,0,0,3.4,1.4,1.17,1.5,4.5,1.0,1.0,1.33,3.67,1.33,1.33,1.33,4.5,1.0,1.0,1.33
SC0,24/09/2016,Hearts,Ross County,0,0,D,0.67,0.22,0.67,0.44,0,0,1.83,1.0,1.17,1.17,3.0,1.33,1.0,1.0,1.67,1.0,0.33,0.67,3.0,1.33,1.0,1.0
SC0,24/09/2016,Inverness C,Dundee,3,1,H,0.56,0.22,0.44,0.67,0,0,1.33,2.33,1.17,1.33,2.0,2.0,1.5,0.5,1.67,1.33,0.67,1.33,2.0,2.0,1.5,0.5
SC0,24/09/2016,Partick,Motherwell,1,1,D,0.11,0.56,0.33,0.44,0,0,1.2,1.6,1.5,1.33,1.0,1.33,1.33,1.33,1.0,2.0,1.67,1.0,1.0,1.33,1.33,1.33
SC0,25/09/2016,Aberdeen,Rangers,2,1,H,0.44,0.22,0.56,0.44,0,1,1.17,1.17,1.17,1.5,1.0,0.67,1.33,2.33,1.67,2.0,0.67,2.0,1.0,0.67,1.33,2.33
SC0,25/09/2016,Hamilton,St Johnstone,1,1,D,0.33,0.67,0.5,0.67,0,0,1.17,1.83,1.33,1.17,1.0,1.0,1.67,1.0,1.33,2.33,1.33,0.67,1.0,1.0,1.67,1.0
SC0,30/09/2016,Motherwell,Hearts,1,3,A,0.56,0.44,0.44,0.44,0,0,1.43,1.29,1.57,0.86,1.67,1.33,0.67,0.67,2.0,1.33,1.0,0.67,1.67,1.33,0.67,0.67
SC0,01/10/2016,Dundee,Celtic,0,1,A,0.11,0.78,0.22,0.78,0,0,1.14,1.57,3.83,1.33,1.0,1.75,2.67,1.67,1.0,2.33,4.33,1.33,1.0,1.67,2.67,1.67
SC0,01/10/2016,Hamilton,Inverness C,1,1,D,0.11,0.56,0.44,0.11,0,0,1.14,1.71,1.57,2.14,1.0,1.0,0.67,2.67,1.33,2.67,2.0,1.33,1.0,1.0,0.67,2.67
SC0,01/10/2016,Kilmarnock,Aberdeen,0,4,A,0.22,0.78,0.22,0.44,0,0,1.14,2.14,1.29,1.14,1.33,1.67,1.33,1.67,1.33,3.0,2.0,1.0,1.33,1.67,1.33,1.67
SC0,01/10/2016,Rangers,Partick,2,0,H,0.11,0.22,0.56,0.17,1,0,1.14,1.57,1.17,1.5,1.0,0.67,1.5,2.0,0.67,2.33,1.0,1.67,1.0,0.67,1.5,2.0
SC0,01/10/2016,Ross County,St Johnstone,0,2,A,0.33,0.78,0.44,0.44,0,0,1.0,1.0,1.29,1.14,1.33,1.33,1.5,1.0,0.33,0.33,1.33,0.33,1.33,1.33,1.33,1.0
SC0,14/10/2016,Inverness C,Rangers,0,1,A,0.56,0.44,0.78,0.11,0,1,1.5,2.0,1.25,1.38,2.25,1.75,1.25,2.25,2.0,1.33,1.0,0.67,2.33,1.33,1.0,2.67
SC0,15/10/2016,Aberdeen,Ross County,4,0,H,1.0,0.22,0.78,0.22,0,0,1.62,1.0,0.88,1.12,1.25,0.75,0.75,0.75,3.0,0.67,0.0,0.67,1.67,1.0,0.0,0.33
SC0,15/10/2016,Celtic,Motherwell,2,0,H,0.78,0.44,1.0,0.22,0,0,3.43,1.14,1.38,1.5,5.0,1.0,1.25,1.25,3.0,1.0,2.0,2.0,5.0,1.0,1.0,1.33
SC0,15/10/2016,Hearts,Dundee,2,0,H,0.44,0.0,0.78,0.44,0,0,1.75,0.88,1.0,1.5,2.25,1.0,1.33,1.33,1.0,0.67,0.67,2.33,2.67,0.67,1.33,1.33
SC0,15/10/2016,Partick,Hamilton,2,2,D,0.22,0.22,0.11,0.11,0,0,1.0,1.57,1.12,1.62,1.0,1.25,1.25,2.25,1.0,1.67,1.33,2.0,0.67,1.67,1.33,2.67
SC0,15/10/2016,St Johnstone,Kilmarnock,0,1,A,0.78,0.11,0.44,0.11,0,0,1.38,1.0,1.0,2.38,1.0,1.33,1.0,2.5,1.33,0.33,1.0,4.0,1.0,1.33,0.67,3.0
SC0,22/10/2016,Inverness C,Kilmarnock,1,1,D,0.44,0.33,0.44,0.44,0,0,1.33,1.89,1.0,2.11,1.8,1.6,1.0,2.0,1.33,1.0,0.67,3.33,1.67,1.33,1.0,2.33
SC0,22/10/2016,Partick,Ross County,1,1,D,0.22,0.11,0.22,0.22,0,0,1.12,1.62,0.78,1.44,1.2,1.4,0.6,1.4,1.0,1.67,0.0,2.0,1.0,1.67,0.0,1.33
SC0,23/10/2016,St Johnstone,Dundee,2,1,H,0.44,0.0,0.33,0.11,0,0,1.22,1.0,0.89,1.56,0.75,1.25,1.0,1.5,1.0,0.67,0.33,2.0,1.0,1.67,0.33,1.67
