Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeamOverallFormL3,AwayTeamOverallFormL3,HomeTeamHomeFormL3,AwayTeamAwayFormL3,HomeTeamPromoted,AwayTeamPromoted,HomeTeamAvgGoalsScoredOverall,HomeTeamAvgGoalsConcededOverall,AwayTeamAvgGoalsScoredOverall,AwayTeamAvgGoalsConcededOverall,HomeTeamAvgGoalsScoredHome,HomeTeamAvgGoalsConcededHome,AwayTeamAvgGoalsScoredAway,AwayTeamAvgGoalsConcededAway,HomeTeamAvgGoalsScoredOverallL3,HomeTeamAvgGoalsConcededOverallL3,AwayTeamAvgGoalsScoredOverallL3,AwayTeamAvgGoalsConcededOverallL3,HomeTeamAvgGoalsScoredHomeL3,HomeTeamAvgGoalsConcededHomeL3,AwayTeamAvgGoalsScoredAwayL3,AwayTeamAvgGoalsConcededAwayL3
D1,29/09/2017,Schalke 04,Leverkusen,1,1,D,0.33,0.67,0.67,0.0,0,0,1.17,1.33,2.0,1.67,1.67,1.33,1.0,2.67,0.67,2.0,2.67,0.67,1.67,1.33,1.0,2.67
D1,30/09/2017,Augsburg,Dortmund,1,2,A,0.78,1.0,0.78,0.78,0,0,1.33,0.67,3.17,0.17,2.0,0.67,2.0,0.0,1.0,0.33,4.67,0.33,2.0,0.67,2.0,0.0
D1,30/09/2017,Ein Frankfurt,Stuttgart,2,1,H,0.33,0.44,0.0,0.0,0,1,0.67,0.83,0.5,1.17,0.5,1.5,0.33,2.33,1.0,1.33,0.33,0.67,0.5,1.5,0.33,2.33
D1,30/09/2017,Hamburg,Werder Bremen,0,0,D,0.0,0.22,0.33,0.22,0,0,0.67,1.83,0.5,1.17,0.33,1.67,0.67,1.0,0.0,2.67,0.67,1.0,0.33,1.67,0.67,1.0
D1,30/09/2017,M'gladbach,Hannover,2,1,H,0.44,0.56,0.67,0.56,0,1,1.33,1.83,1.0,0.33,1.0,0.33,1.0,0.67,1.67,2.67,1.0,0.33,1.0,0.33,1.0,0.67
D1,30/09/2017,Wolfsburg,Mainz,1,1,D,0.22,0.33,0.22,0.0,0,0,0.83,1.33,1.0,1.67,0.67,1.67,0.0,2.5,1.0,1.33,1.0,2.33,0.67,1.67,0.0,2.5
D1,01/10/2017,FC Koln,RB Leipzig,1,2,A,0.11,0.44,0.0,0.33,0,0,0.17,2.17,1.67,1.17,0.5,2.0,0.67,1.0,0.0,2.0,1.33,1.33,0.5,2.0,0.67,1.0
D1,01/10/2017,Freiburg,Hoffenheim,3,2,H,0.22,0.78,0.33,0.67,0,0,0.33,1.5,1.83,0.83,0.33,0.33,2.5,2.0,0.33,1.67,2.0,1.0,0.33,0.33,2.5,2.0
D1,01/10/2017,Hertha,Bayern Munich,2,2,D,0.44,0.78,0.78,0.67,0,0,1.0,1.0,2.33,0.83,1.67,0.67,1.67,0.67,1.0,1.0,3.0,0.67,1.67,0.67,1.67,0.67
D1,13/10/2017,Stuttgart,FC Koln,2,1,H,0.11,0.11,0.78,0.11,1,0,0.57,1.29,0.29,2.14,0.67,0.0,0.0,2.25,0.33,1.33,0.33,1.0,0.67,0.0,0.0,2.67
D1,14/10/2017,Bayern Munich,Freiburg,5,0,H,0.56,0.56,0.78,0.11,0,0,2.29,1.0,0.71,1.57,3.0,1.0,0.33,2.67,2.33,1.33,1.33,1.0,3.0,1.0,0.33,2.67
