Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeamOverallFormL3,AwayTeamOverallFormL3,HomeTeamHomeFormL3,AwayTeamAwayFormL3,HomeTeamPromoted,AwayTeamPromoted,HomeTeamAvgGoalsScoredOverall,HomeTeamAvgGoalsConcededOverall,AwayTeamAvgGoalsScoredOverall,AwayTeamAvgGoalsConcededOverall,HomeTeamAvgGoalsScoredHome,HomeTeamAvgGoalsConcededHome,AwayTeamAvgGoalsScoredAway,AwayTeamAvgGoalsConcededAway,HomeTeamAvgGoalsScoredOverallL3,HomeTeamAvgGoalsConcededOverallL3,AwayTeamAvgGoalsScoredOverallL3,AwayTeamAvgGoalsConcededOverallL3,HomeTeamAvgGoalsScoredHomeL3,HomeTeamAvgGoalsConcededHomeL3,AwayTeamAvgGoalsScoredAwayL3,AwayTeamAvgGoalsConcededAwayL3
N1,29/09/2018,Excelsior,VVV Venlo,1,0,H,0.22,0.78,0.22,0.78,0,0,1.67,2.17,1.33,0.67,2.0,2.67,1.33,0.67,2.33,3.0,2.0,0.67,2.0,2.67,1.33,0.67
N1,29/09/2018,For Sittard,Ajax,0,2,A,0.56,0.67,0.22,0.67,1,0,1.83,2.17,2.33,0.67,2.0,2.33,1.67,1.0,2.67,2.33,2.33,1.0,2.0,2.33,1.67,1.0
N1,29/09/2018,Heerenveen,Den Haag,1,1,D,0.22,0.44,0.11,0.44,0,0,2.33,2.83,1.83,2.83,2.33,3.67,2.33,2.33,2.33,3.0,1.67,3.33,2.33,3.67,2.33,2.33
N1,29/09/2018,NAC Breda,PSV Eindhoven,0,2,A,0.0,1.0,0.33,1.0,0,0,1.17,2.83,4.0,0.5,1.67,1.67,3.67,0.67,1.33,3.33,5.33,0.33,1.67,1.67,3.67,0.67
N1,30/09/2018,AZ Alkmaar,Zwolle,2,2,D,0.44,0.67,0.56,0.67,0,0,2.5,1.0,0.83,1.5,2.0,0.33,0.67,0.67,2.0,1.67,0.67,0.67,2.0,0.33,0.67,0.67
N1,30/09/2018,Feyenoord,Vitesse,2,1,H,0.78,0.44,1.0,0.56,0,0,2.33,1.33,1.5,1.17,2.67,0.67,1.0,0.33,2.0,1.0,1.0,1.67,2.67,0.67,1.0,0.33
N1,30/09/2018,Graafschap,Willem II,2,1,H,0.11,0.22,0.33,0.44,1,0,0.67,1.83,2.17,2.17,1.0,1.0,2.0,3.33,0.67,2.33,2.33,4.0,1.0,1.0,2.0,3.33
N1,30/09/2018,Groningen,Utrecht,1,1,D,0.0,0.11,0.0,0.11,0,0,0.5,2.17,0.83,1.5,0.33,1.67,0.33,2.0,0.33,2.33,0.67,1.33,0.33,1.67,0.33,2.0
N1,30/09/2018,Heracles,FC Emmen,2,1,H,1.0,0.44,1.0,0.67,0,1,2.83,2.17,1.0,2.17,3.67,1.33,1.33,2.33,4.0,1.67,1.0,1.0,3.67,1.33,1.33,2.33
N1,05/10/2018,Utrecht,NAC Breda,2,1,H,0.11,0.0,0.44,0.0,0,0,0.86,1.43,1.0,2.71,1.33,1.0,0.67,4.0,0.67,1.33,0.67,2.67,1.33,1.0,0.67,4.0
N1,06/10/2018,Den Haag,Groningen,1,0,H,0.22,0.11,0.33,0.33,0,0,1.71,2.57,0.57,2.0,1.33,3.33,0.67,2.67,0.67,3.0,0.67,2.33,1.33,3.33,0.67,2.67
N1,06/10/2018,Graafschap,Heerenveen,0,5,A,0.33,0.22,0.33,0.56,1,0,0.86,1.71,2.14,2.57,1.25,1.0,2.33,2.0,1.0,2.33,2.33,3.0,1.0,1.33,2.33,2.0
N1,06/10/2018,PSV Eindhoven,VVV Venlo,4,0,H,1.0,0.67,1.0,0.44,0,0,3.71,0.43,1.14,0.71,4.33,0.33,1.0,0.75,4.0,0.0,1.67,0.67,4.33,0.33,1.0,1.0
N1,06/10/2018,Zwolle,Excelsior,2,0,H,0.44,0.56,0.0,0.44,0,0,1.0,1.57,1.57,1.86,1.0,2.33,1.33,1.67,1.0,1.33,2.0,1.67,1.0,2.33,1.33,1.67
N1,07/10/2018,Ajax,AZ Alkmaar,5,0,H,0.67,0.56,0.78,0.67,0,0,2.29,0.57,2.43,1.14,3.0,0.33,3.0,1.67,1.67,1.0,2.0,1.33,3.0,0.33,3.0,1.67
N1,07/10/2018,FC Emmen,For Sittard,3,3,D,0.33,0.44,0.11,0.44,1,1,1.0,2.14,1.57,2.14,0.67,2.0,1.67,2.0,1.0,1.33,2.33,2.67,0.67,2.0,1.67,2.0
N1,07/10/2018,Vitesse,Heracles,4,0,H,0.44,1.0,0.44,0.44,0,0,1.43,1.29,2.71,2.0,2.0,2.0,2.0,3.0,1.33,1.0,3.67,1.33,2.0,2.0,2.0,3.0
N1,07/10/2018,Willem II,Feyenoord,1,1,D,0.22,0.78,0.44,0.44,0,0,2.0,2.14,2.29,1.29,2.33,1.0,2.0,2.0,2.33,2.67,1.33,0.67,2.33,1.0,2.0,2.0
N1,20/10/2018,Excelsior,Vitesse,2,0,H,0.44,0.44,0.44,0.44,0,0,1.38,1.88,1.75,1.12,1.75,2.0,1.0,0.75,1.33,1.67,2.0,1.0,2.0,2.33,1.0,0.67
N1,20/10/2018,Heerenveen,Ajax,0,4,A,0.56,0.67,0.11,0.67,0,0,2.5,2.25,2.62,0.5,2.0,3.0,1.75,0.75,3.0,1.33,2.33,1.0,2.33,3.67,2.0,1.0
N1,20/10/2018,PSV Eindhoven,FC Emmen,6,0,H,1.0,0.11,1.0,0.33,0,1,3.75,0.38,1.25,2.25,4.25,0.25,1.25,2.25,3.0,0.0,1.33,2.0,4.33,0.33,1.0,2.67
N1,20/10/2018,Utrecht,AZ Alkmaar,2,1,H,0.44,0.44,0.44,0.33,0,0,1.0,1.38,2.12,1.62,1.5,1.0,2.25,2.5,1.0,1.0,1.67,2.67,1.33,1.33,1.67,3.0
N1,21/10/2018,Feyenoord,Zwolle,3,0,H,0.78,0.78,1.0,0.78,0,0,2.12,1.25,1.12,1.38,2.5,0.75,1.0,1.0,1.33,0.67,1.67,0.67,2.33,1.0,1.33,0.67
N1,21/10/2018,For Sittard,Graafschap,3,1,H,0.22,0.33,0.22,0.11,1,1,1.75,2.25,0.75,2.12,1.5,2.25,0.33,2.67,2.33,3.0,0.67,3.33,1.67,2.33,0.33,2.67
N1,21/10/2018,Heracles,Groningen,4,1,H,0.67,0.11,1.0,0.33,0,0,2.38,2.25,0.5,1.88,3.25,1.25,0.5,2.25,2.0,1.67,0.67,1.67,3.0,1.0,0.33,1.33
N1,21/10/2018,NAC Breda,Willem II,2,2,D,0.0,0.22,0.0,0.11,0,0,1.0,2.62,1.88,2.0,1.25,1.75,1.75,3.0,0.33,2.33,2.0,2.33,0.67,2.33,2.0,4.0
N1,21/10/2018,VVV Venlo,Den Haag,2,0,H,0.33,0.56,0.44,0.56,0,0,1.0,1.12,1.62,2.25,1.33,0.67,2.0,2.0,1.0,1.67,1.0,0.67,1.33,0.67,2.0,1.33
N1,26/10/2018,FC Emmen,VVV Venlo,1,1,D,0.11,0.33,0.22,0.33,1,0,1.11,2.67,1.11,1.0,1.25,2.25,0.8,1.4,1.33,3.67,0.67,1.67,1.33,1.67,0.67,2.0
N1,27/10/2018,Den Haag,NAC Breda,1,1,D,0.44,0.11,0.67,0.0,0,0,1.44,2.22,1.11,2.56,1.25,2.5,0.75,3.5,0.67,1.0,1.0,2.0,1.33,2.67,1.0,3.0
N1,27/10/2018,Graafschap,Excelsior,4,1,H,0.33,0.67,0.33,0.44,1,0,0.78,2.22,1.44,1.67,1.0,1.8,1.0,1.75,1.0,3.0,1.0,0.67,1.0,2.67,1.33,1.33
N1,27/10/2018,Groningen,PSV Eindhoven,1,2,A,0.11,1.0,0.11,1.0,0,0,0.56,2.11,4.0,0.33,0.5,1.5,3.25,0.5,0.67,2.0,4.0,0.0,0.67,1.67,3.67,0.33
N1,27/10/2018,Zwolle,Heracles,1,1,D,0.44,0.67,0.33,0.33,0,0,1.0,1.56,2.56,2.11,1.25,1.75,1.5,3.25,1.33,1.67,2.0,2.0,1.0,1.33,1.67,4.0
N1,28/10/2018,Ajax,Feyenoord,3,0,H,1.0,0.78,1.0,0.56,0,0,2.78,0.44,2.22,1.11,3.5,0.25,1.75,1.75,3.67,0.0,2.0,0.67,4.33,0.0,2.33,1.67
N1,28/10/2018,AZ Alkmaar,Heerenveen,2,3,A,0.11,0.44,0.33,0.56,0,0,2.0,1.67,2.22,2.44,2.0,0.75,3.0,1.5,1.0,3.0,2.0,1.67,1.0,1.0,3.0,1.33
N1,28/10/2018,Vitesse,For Sittard,2,1,H,0.33,0.44,0.44,0.44,0,1,1.56,1.22,1.89,2.11,2.5,1.5,2.0,2.25,1.67,1.33,2.0,2.0,1.67,1.67,2.33,2.67
N1,28/10/2018,Willem II,Utrecht,0,1,A,0.22,0.78,0.56,0.22,0,0,1.89,2.0,1.11,1.33,2.0,1.0,0.5,1.75,1.33,1.67,1.67,1.0,2.67,1.0,0.67,1.0
N1,02/11/2018,Excelsior,Groningen,2,4,A,0.33,0.0,0.78,0.0,0,0,1.4,1.9,0.6,2.1,1.8,1.6,0.6,2.6,1.0,2.0,0.67,2.33,2.0,1.0,0.33,2.67
N1,03/11/2018,Ajax,Willem II,2,0,H,1.0,0.22,1.0,0.22,0,0,2.8,0.4,1.7,1.9,3.4,0.2,1.8,2.8,4.0,0.0,1.0,1.33,3.67,0.0,2.33,2.67
N1,03/11/2018,AZ Alkmaar,Graafschap,1,0,H,0.0,0.33,0.22,0.11,0,1,2.0,1.8,1.1,2.1,2.0,1.2,0.5,2.75,1.0,3.33,1.67,3.0,1.67,2.0,0.67,2.67
N1,03/11/2018,NAC Breda,Heracles,2,1,H,0.22,0.44,0.11,0.44,0,0,1.1,2.4,2.4,2.0,1.4,1.8,1.4,2.8,1.33,1.67,1.67,2.0,1.33,2.33,2.0,2.67
N1,03/11/2018,PSV Eindhoven,Vitesse,1,0,H,1.0,0.67,1.0,0.33,0,0,3.8,0.4,1.6,1.2,4.6,0.2,0.8,1.0,4.0,0.33,2.0,1.0,4.33,0.0,1.0,1.33
N1,04/11/2018,For Sittard,Zwolle,3,0,H,0.44,0.44,0.44,0.44,1,0,1.8,2.1,1.0,1.5,1.8,2.0,0.8,1.4,2.33,2.0,1.0,1.33,2.33,2.33,1.0,1.67
N1,04/11/2018,Heerenveen,FC Emmen,1,1,D,0.67,0.22,0.11,0.33,0,1,2.3,2.4,1.1,2.5,1.6,3.2,1.0,3.0,2.67,2.0,1.33,3.33,1.33,3.33,1.0,3.0
