Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeTeamOverallFormL3,AwayTeamOverallFormL3,HomeTeamHomeFormL3,AwayTeamAwayFormL3,HomeTeamPromoted,AwayTeamPromoted,HomeTeamAvgGoalsScoredOverall,HomeTeamAvgGoalsConcededOverall,AwayTeamAvgGoalsScoredOverall,AwayTeamAvgGoalsConcededOverall,HomeTeamAvgGoalsScoredHome,HomeTeamAvgGoalsConcededHome,AwayTeamAvgGoalsScoredAway,AwayTeamAvgGoalsConcededAway,HomeTeamAvgGoalsScoredOverallL3,HomeTeamAvgGoalsConcededOverallL3,AwayTeamAvgGoalsScoredOverallL3,AwayTeamAvgGoalsConcededOverallL3,HomeTeamAvgGoalsScoredHomeL3,HomeTeamAvgGoalsConcededHomeL3,AwayTeamAvgGoalsScoredAwayL3,AwayTeamAvgGoalsConcededAwayL3
SC0,29/09/2018,Celtic,Aberdeen,1,0,H,0.44,0.44,1.0,0.56,0,0,1.0,0.67,0.83,0.83,1.67,0.33,1.0,0.67,0.67,0.67,0.67,1.0,1.67,0.33,1.0,0.67
SC0,29/09/2018,Hamilton,Dundee,0,2,A,0.33,0.0,0.33,0.0,0,0,1.0,1.33,0.33,2.33,1.67,2.0,0.33,2.33,1.33,1.0,0.33,3.33,1.67,2.0,0.33,2.33
SC0,29/09/2018,Hearts,St Johnstone,2,1,H,0.78,0.44,0.78,0.33,0,0,1.83,0.33,1.0,1.67,1.67,0.33,1.0,2.67,1.67,0.33,1.33,2.33,1.67,0.33,1.0,2.67
SC0,29/09/2018,Kilmarnock,Motherwell,3,1,H,0.67,0.33,0.67,0.33,0,0,1.33,0.83,1.0,1.67,1.33,0.67,1.0,1.67,2.0,1.33,1.0,1.0,1.33,0.67,1.0,1.67
SC0,29/09/2018,St Mirren,Hibernian,0,1,A,0.11,0.67,0.44,0.44,1,0,0.5,2.0,2.0,1.0,0.67,1.0,1.67,1.0,0.33,2.33,2.33,1.33,0.67,1.0,1.67,1.0
SC0,30/09/2018,Livingston,Rangers,1,0,H,0.78,0.67,0.78,0.22,1,0,1.0,0.67,2.5,1.0,1.0,0.33,1.33,1.67,1.0,0.33,3.0,0.67,1.0,0.33,1.33,1.67
SC0,06/10/2018,Aberdeen,St Mirren,4,1,H,0.44,0.11,0.44,0.0,0,1,0.71,0.86,0.43,1.86,0.67,1.0,0.33,3.0,0.67,0.67,0.0,1.33,0.67,1.0,0.33,3.0
SC0,06/10/2018,Dundee,Kilmarnock,1,2,A,0.33,0.67,0.0,0.44,0,0,0.57,2.0,1.57,0.86,0.33,2.33,1.33,1.0,0.67,2.33,2.33,1.67,0.33,2.33,1.33,1.0
SC0,06/10/2018,Hibernian,Hamilton,6,0,H,1.0,0.33,0.78,0.33,0,0,1.86,0.86,0.86,1.43,2.33,1.0,0.33,0.67,2.33,0.67,1.0,1.0,2.33,1.0,0.33,0.67
SC0,06/10/2018,Motherwell,Livingston,1,1,D,0.0,0.78,0.11,0.44,0,1,1.0,1.86,1.0,0.57,1.0,1.67,1.0,1.0,0.33,1.67,0.67,0.0,1.0,1.67,1.0,1.0
